ml;pH;sec;°C
0.000;8.119;0.0;26.1
7.500;5.722;12.0;26.1
7.500;5.662;12.4;26.1
7.545;5.579;13.5;26.1
7.591;5.452;14.7;26.1
7.636;5.327;15.8;26.1
7.682;5.208;17.0;26.1
7.728;5.062;18.1;26.1
7.773;4.987;19.3;26.1
7.819;4.900;20.4;26.1
7.865;4.830;21.5;26.1
7.910;4.741;22.7;26.1
7.956;4.639;23.8;26.1
8.002;4.571;25.2;26.1
8.022;4.514;30.1;26.1
8.042;4.487;33.1;26.1
8.062;4.458;35.8;26.1
8.082;4.435;38.5;26.1
8.102;4.406;41.1;26.1
8.122;4.389;43.8;26.2
8.142;4.361;46.8;26.1
8.162;4.338;49.7;26.2
8.182;4.312;52.5;26.1
8.202;4.287;55.4;26.1
8.222;4.263;58.0;26.1
8.242;4.243;60.9;26.1
8.262;4.221;63.6;26.1
8.282;4.201;66.2;26.1
8.302;4.184;68.9;26.2
8.322;4.161;71.7;26.1
8.342;4.140;74.6;26.1
8.362;4.121;77.2;26.1
8.382;4.101;79.9;26.2
8.402;4.086;82.6;26.2
8.422;4.068;85.2;26.1
8.442;4.051;87.9;26.1
8.462;4.034;90.5;26.1
8.482;4.021;93.2;26.2
8.502;4.004;95.9;26.2
8.522;3.987;98.5;26.1
8.542;3.971;101.2;26.1
8.562;3.957;103.9;26.2
8.582;3.943;106.5;26.2
8.602;3.929;109.2;26.2
8.622;3.916;111.8;26.2
8.642;3.902;114.5;26.1
8.662;3.891;117.2;26.2
8.682;3.880;119.8;26.2
8.702;3.866;122.5;26.2
8.722;3.855;125.2;26.1
8.742;3.842;127.8;26.1
8.762;3.831;130.7;26.2
8.782;3.820;133.3;26.1
8.802;3.808;136.0;26.2
8.822;3.799;138.6;26.2
8.842;3.789;141.3;26.2
8.862;3.779;144.0;26.1
8.882;3.769;146.6;26.1
8.902;3.760;149.3;26.2
8.922;3.750;152.0;26.2
8.942;3.742;154.6;26.2
8.962;3.731;157.3;26.2
8.982;3.720;159.9;26.1
9.002;3.711;162.6;26.1
9.022;3.703;165.3;26.2
9.042;3.695;167.9;26.2
9.062;3.688;170.6;26.2
9.082;3.680;173.2;26.2
9.102;3.672;176.7;26.2
9.122;3.664;179.3;26.2
9.142;3.656;182.0;26.2
9.162;3.647;184.7;26.2
9.182;3.640;187.3;26.2
9.202;3.633;190.0;26.2
9.222;3.627;192.6;26.2
9.242;3.619;195.3;26.2
9.262;3.611;198.0;26.2
9.282;3.605;200.6;26.2
9.302;3.600;203.3;26.2
9.322;3.592;206.0;26.2
9.342;3.584;208.6;26.1
9.362;3.578;211.3;26.2
9.382;3.571;213.9;26.2
9.402;3.566;216.6;26.2
9.422;3.559;219.3;26.2
9.442;3.553;221.9;26.2
9.462;3.548;224.6;26.2
9.482;3.542;227.2;26.2
9.502;3.536;229.9;26.2
9.522;3.530;232.6;26.2
9.542;3.523;235.2;26.2
9.562;3.518;237.9;26.2
9.582;3.513;240.6;26.2
9.602;3.507;243.2;26.2
9.622;3.501;245.9;26.2
9.642;3.496;248.5;26.2
9.662;3.491;251.2;26.2
9.682;3.487;253.9;26.2
9.682;3.486;254.1;26.2
