ml;pH;sec;°C
0.000;8.109;0.0;26.7
7.500;5.146;12.0;26.7
7.500;5.163;12.4;26.7
7.545;5.287;13.5;26.7
7.591;5.270;14.7;26.7
7.636;5.227;15.8;26.7
7.682;5.164;17.0;26.7
7.728;5.068;18.1;26.7
7.773;4.976;19.2;26.7
7.819;4.880;20.4;26.7
7.864;4.779;21.5;26.7
7.910;4.700;22.7;26.7
7.956;4.613;23.8;26.7
7.972;4.569;24.4;26.7
7.992;4.443;33.5;26.6
8.012;4.420;36.2;26.6
8.032;4.395;38.8;26.6
8.052;4.375;41.7;26.6
8.072;4.352;44.5;26.6
8.092;4.329;47.2;26.6
8.112;4.306;50.6;26.6
8.132;4.281;53.7;26.6
8.152;4.252;56.3;26.6
8.172;4.236;59.0;26.6
8.192;4.210;61.6;26.6
8.212;4.196;64.3;26.6
8.232;4.172;67.0;26.6
8.252;4.152;69.8;26.6
8.272;4.133;72.5;26.6
8.292;4.117;75.1;26.6
8.312;4.098;77.8;26.6
8.332;4.081;80.7;26.6
8.352;4.064;83.3;26.6
8.372;4.043;86.0;26.6
8.392;4.026;88.6;26.6
8.412;4.010;91.3;26.6
8.432;3.994;94.0;26.6
8.452;3.980;96.6;26.6
8.472;3.968;99.3;26.6
8.492;3.954;102.0;26.6
8.512;3.936;104.6;26.6
8.532;3.925;107.3;26.6
8.552;3.912;109.9;26.6
8.572;3.896;112.6;26.6
8.592;3.884;115.3;26.6
8.612;3.873;117.9;26.6
8.632;3.861;120.6;26.6
8.652;3.848;123.2;26.6
8.672;3.838;125.9;26.6
8.692;3.826;128.6;26.6
8.712;3.815;131.2;26.6
8.732;3.804;133.9;26.6
8.752;3.795;136.6;26.6
8.772;3.782;139.2;26.6
8.792;3.772;141.9;26.6
8.812;3.762;144.5;26.6
8.832;3.754;147.2;26.6
8.852;3.745;149.9;26.6
8.872;3.735;152.5;26.6
8.892;3.725;155.2;26.6
8.912;3.717;157.8;26.6
8.932;3.708;161.1;26.6
8.952;3.699;163.7;26.5
8.972;3.691;166.4;26.6
8.992;3.681;169.1;26.6
9.012;3.675;171.7;26.6
9.032;3.666;174.4;26.6
9.052;3.659;177.0;26.5
9.072;3.652;179.7;26.6
9.092;3.643;182.4;26.6
9.112;3.637;185.0;26.6
9.132;3.629;187.7;26.5
9.152;3.622;190.4;26.5
9.172;3.614;193.0;26.6
9.192;3.608;195.7;26.6
9.212;3.600;198.3;26.6
9.232;3.594;201.0;26.5
9.252;3.588;203.7;26.6
9.272;3.581;206.3;26.6
9.292;3.575;209.0;26.6
9.312;3.568;211.6;26.6
9.332;3.562;214.3;26.5
9.352;3.555;217.0;26.5
9.372;3.549;219.6;26.5
9.392;3.544;222.3;26.6
9.412;3.538;225.0;26.6
9.432;3.530;227.6;26.5
9.452;3.525;230.3;26.5
9.472;3.521;232.9;26.5
9.492;3.515;235.6;26.6
9.512;3.509;238.3;26.6
9.532;3.504;240.9;26.6
9.552;3.498;243.6;26.5
9.572;3.492;246.2;26.5
9.592;3.486;248.9;26.6
9.592;3.486;249.1;26.6
