ml;pH;sec;°C
0.000;7.991;0.0;25.1
7.500;5.242;12.0;25.1
7.500;5.340;12.4;25.1
7.545;5.494;13.5;25.1
7.590;5.517;14.7;25.1
7.636;5.494;15.8;25.1
7.681;5.446;17.0;25.1
7.727;5.383;18.1;25.1
7.773;5.305;19.2;25.1
7.818;5.227;20.4;25.1
7.864;5.151;21.5;25.1
7.910;5.074;22.7;25.1
7.955;4.989;23.8;25.1
8.001;4.904;25.0;25.1
8.047;4.832;26.1;25.1
8.092;4.755;27.2;25.1
8.138;4.687;28.4;25.1
8.184;4.615;29.5;25.1
8.207;4.569;30.3;25.1
8.227;4.408;40.2;25.0
8.247;4.384;43.8;25.0
8.267;4.360;47.4;25.0
8.287;4.337;50.8;25.0
8.307;4.315;54.4;25.0
8.327;4.291;58.1;25.0
8.347;4.268;61.7;25.0
8.367;4.245;65.3;25.0
8.387;4.223;68.9;25.0
8.407;4.203;72.5;25.1
8.427;4.182;75.9;25.0
8.447;4.162;79.3;25.0
8.467;4.143;83.0;25.0
8.487;4.125;86.2;25.0
8.507;4.106;89.6;25.0
8.527;4.088;92.8;25.0
8.547;4.069;96.3;25.0
8.567;4.051;99.7;25.0
8.587;4.034;102.9;25.1
8.607;4.018;106.0;25.0
8.627;4.002;109.2;25.1
8.647;3.987;112.4;25.1
8.667;3.972;115.7;25.1
8.687;3.958;118.7;25.0
8.707;3.944;121.8;25.0
8.727;3.930;124.8;25.1
8.747;3.915;128.0;25.1
8.767;3.901;131.1;25.1
8.787;3.887;134.1;25.0
8.807;3.875;137.2;25.1
8.827;3.863;140.0;25.0
8.847;3.851;143.0;25.1
8.867;3.840;145.9;25.1
8.887;3.829;148.6;25.1
8.907;3.818;151.4;25.1
8.927;3.806;154.3;25.1
8.947;3.794;157.1;25.0
8.967;3.783;160.0;25.1
8.987;3.772;162.6;25.0
9.007;3.763;165.3;25.0
9.027;3.753;168.0;25.1
9.047;3.743;170.6;25.1
9.067;3.734;173.3;25.0
9.087;3.725;175.9;25.1
9.107;3.716;178.6;25.1
9.127;3.707;181.3;25.0
9.147;3.697;183.9;25.0
9.167;3.688;186.6;25.1
9.187;3.680;189.3;25.1
9.207;3.671;191.9;25.0
9.227;3.662;194.6;25.0
9.247;3.655;197.2;25.1
9.267;3.647;199.9;25.1
9.287;3.640;202.6;25.0
9.307;3.633;205.2;25.1
9.327;3.625;207.9;25.1
9.347;3.617;210.6;25.1
9.367;3.609;213.2;25.0
9.387;3.602;215.9;25.1
9.407;3.595;218.5;25.1
9.427;3.588;221.2;25.1
9.447;3.581;223.9;25.0
9.467;3.575;226.5;25.1
9.487;3.569;229.2;25.1
9.507;3.562;231.8;25.1
9.527;3.555;234.5;25.1
9.547;3.548;237.2;25.1
9.567;3.542;239.8;25.1
9.587;3.535;242.5;25.1
9.607;3.530;245.2;25.1
9.627;3.524;247.8;25.1
9.647;3.518;250.5;25.1
9.667;3.512;253.1;25.1
9.687;3.507;255.8;25.1
9.707;3.502;258.5;25.1
9.727;3.495;261.1;25.0
9.747;3.490;263.8;25.1
9.747;3.490;264.0;25.1
