ml;pH;sec;°C
0.000;8.078;0.0;26.9
7.500;4.549;12.0;26.9
7.500;4.961;18.1;26.9
7.500;4.961;18.1;26.9
7.500;4.961;18.3;26.9
7.544;4.927;19.4;26.9
7.589;4.840;20.6;26.9
7.635;4.753;21.7;26.9
7.681;4.721;22.9;26.9
7.726;4.676;24.0;26.9
7.772;4.638;25.1;26.9
7.811;4.582;26.3;26.9
7.811;4.632;30.3;26.9
7.811;4.632;30.3;26.9
7.811;4.631;30.5;26.9
7.840;4.558;31.4;26.9
7.840;4.596;35.4;26.9
7.840;4.596;35.4;26.9
7.840;4.596;35.6;26.9
7.861;4.568;36.4;26.9
7.881;4.540;42.8;26.9
7.901;4.523;47.4;26.9
7.921;4.499;51.2;26.9
7.941;4.473;53.8;26.9
7.961;4.450;58.0;26.9
7.981;4.423;60.7;26.9
8.001;4.397;63.3;26.9
8.021;4.375;66.0;26.9
8.041;4.355;68.7;26.9
8.061;4.335;72.9;26.9
8.081;4.310;75.5;26.9
8.101;4.290;79.7;26.9
8.121;4.268;83.9;26.9
8.141;4.242;86.5;26.9
8.161;4.224;89.2;26.9
8.181;4.203;92.8;26.9
8.201;4.181;95.5;26.9
8.221;4.161;98.1;26.9
8.241;4.143;100.8;26.9
8.261;4.125;105.0;26.9
8.281;4.107;107.6;26.9
8.301;4.089;110.9;26.9
8.321;4.069;113.5;26.9
8.341;4.051;116.2;26.9
8.361;4.034;119.6;26.9
8.381;4.016;122.3;26.9
8.401;4.001;125.7;26.9
8.421;3.986;128.4;26.9
8.441;3.971;132.2;26.9
8.461;3.957;135.6;26.9
8.481;3.944;139.2;26.9
8.501;3.930;141.9;26.9
8.521;3.917;145.3;26.9
8.541;3.903;148.5;26.9
8.561;3.890;151.2;26.9
8.581;3.876;154.6;26.9
8.601;3.865;157.3;26.9
8.621;3.854;160.7;26.9
8.641;3.842;164.5;26.9
8.661;3.829;167.1;26.8
8.681;3.821;170.4;26.9
8.701;3.811;173.6;26.9
8.721;3.799;177.0;26.9
8.741;3.785;179.7;26.9
8.761;3.777;183.3;26.8
8.781;3.768;186.0;26.9
8.801;3.759;188.6;26.9
8.821;3.748;191.7;26.9
8.841;3.740;194.3;26.9
8.861;3.731;197.6;26.8
8.881;3.723;200.2;26.9
8.901;3.714;203.5;26.8
8.921;3.706;206.5;26.9
8.941;3.697;209.2;26.9
8.961;3.687;211.8;26.9
8.981;3.679;214.5;26.9
9.001;3.671;217.1;26.9
9.021;3.664;219.8;26.9
9.041;3.657;223.0;26.9
9.061;3.649;225.7;26.8
9.081;3.642;228.4;26.9
9.101;3.635;231.0;26.9
9.121;3.629;233.7;26.9
9.141;3.621;236.4;26.8
9.161;3.613;239.6;26.9
9.181;3.606;242.2;26.8
9.201;3.599;245.3;26.9
9.221;3.593;247.9;26.9
9.241;3.586;250.6;26.9
9.261;3.580;253.3;26.9
9.281;3.575;255.9;26.9
9.301;3.569;258.6;26.9
9.321;3.562;261.3;26.8
9.341;3.556;264.5;26.9
9.361;3.549;267.5;26.8
9.381;3.544;270.2;26.9
9.401;3.537;273.0;26.8
9.421;3.533;275.7;26.9
9.441;3.527;278.4;26.9
9.461;3.520;281.0;26.8
9.481;3.516;283.7;26.9
9.501;3.511;286.4;26.9
9.521;3.504;289.0;26.8
9.541;3.499;291.7;26.8
9.561;3.494;294.3;26.9
9.581;3.489;297.0;26.9
9.581;3.488;297.2;26.9
